"prompt","answer"
"What courses will I take in fourth year second semester of Computerinformationsystem?","In the fourth year second semester of Computerinformationsystem, you will study:

Fourth Year - Second Semester Courses (Year Four or 4 Second Semester - Final Year Second Semester):
CIS411, MANAGEMENT INFORMATION SYSTEMS, T: 3, P: 0, C: 3, E: 6
CIS400, GRADUATION PROJECT, T: 3, P: 0, C: 3, E: 6
TE, TECHNICAL ELECTIVE, T: 2, P: 2, C: 3, E: 6
TE, TECHNICAL ELECTIVE, T: 2, P: 2, C: 3, E: 4
TE, TECHNICAL ELECTIVE, T: 2, P: 2, C: 3, E: 4
TE, TECHNICAL ELECTIVE, T: 2, P: 2, C: 3, E: 4

Total: T: 14, P: 8, C: 18, E: 30"
"List the fourth year second semester courses for Computerinformationsystem","In the fourth year second semester of Computerinformationsystem, you will study:

Fourth Year - Second Semester Courses (Year Four or 4 Second Semester - Final Year Second Semester):
CIS411, MANAGEMENT INFORMATION SYSTEMS, T: 3, P: 0, C: 3, E: 6
CIS400, GRADUATION PROJECT, T: 3, P: 0, C: 3, E: 6
TE, TECHNICAL ELECTIVE, T: 2, P: 2, C: 3, E: 6
TE, TECHNICAL ELECTIVE, T: 2, P: 2, C: 3, E: 4
TE, TECHNICAL ELECTIVE, T: 2, P: 2, C: 3, E: 4
TE, TECHNICAL ELECTIVE, T: 2, P: 2, C: 3, E: 4

Total: T: 14, P: 8, C: 18, E: 30"
"What career opportunities are available after graduating from Computerinformationsystem?","Career Opportunities for CIS Graduates:
Information Systems Analyst
Business Systems Analyst
IT Consultant
Software Developer
Database Administrator
Web Developer
Systems Administrator
IT Project Manager
Business Intelligence Analyst
E-Business Specialist
Data Analyst
Network Administrator
IT Support Specialist
Digital Transformation Consultant"
"What jobs can I get with a Computerinformationsystem degree?","Career Opportunities for CIS Graduates:
Information Systems Analyst
Business Systems Analyst
IT Consultant
Software Developer
Database Administrator
Web Developer
Systems Administrator
IT Project Manager
Business Intelligence Analyst
E-Business Specialist
Data Analyst
Network Administrator
IT Support Specialist
Digital Transformation Consultant"
"What can I do after graduating from Computerinformationsystem?","Career Opportunities for CIS Graduates:
Information Systems Analyst
Business Systems Analyst
IT Consultant
Software Developer
Database Administrator
Web Developer
Systems Administrator
IT Project Manager
Business Intelligence Analyst
E-Business Specialist
Data Analyst
Network Administrator
IT Support Specialist
Digital Transformation Consultant"
"What are the mission and vision of the Computerinformationsystem program?","Mission and Vision:

Mission
The mission of the Bachelor's Program in Computer Information Systems is to contribute to society, industry, and academia by educating qualified professionals in the fields of informatics systems and information technologies. The program aims to equip students with a strong foundation in computer science, information systems, and business process management, integrating both theoretical knowledge and practical skills alongside research competence. It seeks to cultivate individuals who are sensitive to current technological advancements, adhere to ethical standards, and embrace innovation. Through project-based learning and collaborative group work, students apply up-to-date technologies to analyze real-world problems and develop solutions or applications that facilitate daily life. In doing so, they enhance both their technical and managerial competencies. Furthermore, the program aspires to educate individuals who are responsive to societal needs, open to lifelong learning, and capable of engaging in interdisciplinary work.

Vision
The vision of the Bachelor's Program in Computer Information Systems is to become an innovative and solution-oriented academic program that is recognized at both national and international levels in the fields of informatics systems and information technologies. The program prioritizes quality in education, sustainability in research, and impact in societal contribution, aiming to educate individuals capable of shaping technological advancements. With a focus on data-driven decision-making, digital transformation, and a multidisciplinary work culture, the program aspires to be a leading department that contributes to the advancement of the information technology sector and academia."
"Tell me about the mission and vision of Computerinformationsystem","Mission and Vision:

Mission
The mission of the Bachelor's Program in Computer Information Systems is to contribute to society, industry, and academia by educating qualified professionals in the fields of informatics systems and information technologies. The program aims to equip students with a strong foundation in computer science, information systems, and business process management, integrating both theoretical knowledge and practical skills alongside research competence. It seeks to cultivate individuals who are sensitive to current technological advancements, adhere to ethical standards, and embrace innovation. Through project-based learning and collaborative group work, students apply up-to-date technologies to analyze real-world problems and develop solutions or applications that facilitate daily life. In doing so, they enhance both their technical and managerial competencies. Furthermore, the program aspires to educate individuals who are responsive to societal needs, open to lifelong learning, and capable of engaging in interdisciplinary work.

Vision
The vision of the Bachelor's Program in Computer Information Systems is to become an innovative and solution-oriented academic program that is recognized at both national and international levels in the fields of informatics systems and information technologies. The program prioritizes quality in education, sustainability in research, and impact in societal contribution, aiming to educate individuals capable of shaping technological advancements. With a focus on data-driven decision-making, digital transformation, and a multidisciplinary work culture, the program aspires to be a leading department that contributes to the advancement of the information technology sector and academia."
"What elective courses are available in the Computerinformationsystem program?","The Computerinformationsystem program offers the following elective courses:

Computer Information Systems Department (CIS)
Information Systems Engineer (Bachelor's Degree/ first cycle in Bologna System)
Main website link: https://aif.neu.edu.tr/
Curriculum link: https://aif.neu.edu.tr/academic/academic-programmes/department-of-computer-information-systems/

T (Theory Hours): The number of hours dedicated to lectures or theoretical learning in the course.
P (Practice Hours): The number of hours spent on practical work, labs, or hands-on activities.
C (Credits): The credit value assigned to the course, reflecting its academic weight.
E (ECTS): European Credit Transfer and Accumulation System, representing the workload and learning outcomes.

Course Type Legend:
C = Compulsory Course
E = Elective Course"
"Tell me about elective courses for Computerinformationsystem","The Computerinformationsystem program offers the following elective courses:

Computer Information Systems Department (CIS)
Information Systems Engineer (Bachelor's Degree/ first cycle in Bologna System)
Main website link: https://aif.neu.edu.tr/
Curriculum link: https://aif.neu.edu.tr/academic/academic-programmes/department-of-computer-information-systems/

T (Theory Hours): The number of hours dedicated to lectures or theoretical learning in the course.
P (Practice Hours): The number of hours spent on practical work, labs, or hands-on activities.
C (Credits): The credit value assigned to the course, reflecting its academic weight.
E (ECTS): European Credit Transfer and Accumulation System, representing the workload and learning outcomes.

Course Type Legend:
C = Compulsory Course
E = Elective Course"
"How long is the Computerinformationsystem program?","Computer Information Systems Program Summary:
- Department: Computer Information Systems (CIS)
- Degree: Bachelor of Science
- Total Semesters: 8
- Total Courses: 50+
- Total ECTS Credits: 240
- Language of Instruction: English
- Focus Areas: Information Systems, Business Technology, Software Development, Database Management

Key Specializations:
- Information Systems Analysis and Design
- Business Process Management
- Web and Application Development
- Database Systems and Management
- E-Business Systems
- IT Project Management"
"What is the duration of Computerinformationsystem studies?","Computer Information Systems Program Summary:
- Department: Computer Information Systems (CIS)
- Degree: Bachelor of Science
- Total Semesters: 8
- Total Courses: 50+
- Total ECTS Credits: 240
- Language of Instruction: English
- Focus Areas: Information Systems, Business Technology, Software Development, Database Management

Key Specializations:
- Information Systems Analysis and Design
- Business Process Management
- Web and Application Development
- Database Systems and Management
- E-Business Systems
- IT Project Management"
"What are the focus areas of Computerinformationsystem?","Mission and Vision:

Mission
The mission of the Bachelor's Program in Computer Information Systems is to contribute to society, industry, and academia by educating qualified professionals in the fields of informatics systems and information technologies. The program aims to equip students with a strong foundation in computer science, information systems, and business process management, integrating both theoretical knowledge and practical skills alongside research competence. It seeks to cultivate individuals who are sensitive to current technological advancements, adhere to ethical standards, and embrace innovation. Through project-based learning and collaborative group work, students apply up-to-date technologies to analyze real-world problems and develop solutions or applications that facilitate daily life. In doing so, they enhance both their technical and managerial competencies. Furthermore, the program aspires to educate individuals who are responsive to societal needs, open to lifelong learning, and capable of engaging in interdisciplinary work.

Vision
The vision of the Bachelor's Program in Computer Information Systems is to become an innovative and solution-oriented academic program that is recognized at both national and international levels in the fields of informatics systems and information technologies. The program prioritizes quality in education, sustainability in research, and impact in societal contribution, aiming to educate individuals capable of shaping technological advancements. With a focus on data-driven decision-making, digital transformation, and a multidisciplinary work culture, the program aspires to be a leading department that contributes to the advancement of the information technology sector and academia."
"What specializations does Computerinformationsystem offer?","Mission and Vision:

Mission
The mission of the Bachelor's Program in Computer Information Systems is to contribute to society, industry, and academia by educating qualified professionals in the fields of informatics systems and information technologies. The program aims to equip students with a strong foundation in computer science, information systems, and business process management, integrating both theoretical knowledge and practical skills alongside research competence. It seeks to cultivate individuals who are sensitive to current technological advancements, adhere to ethical standards, and embrace innovation. Through project-based learning and collaborative group work, students apply up-to-date technologies to analyze real-world problems and develop solutions or applications that facilitate daily life. In doing so, they enhance both their technical and managerial competencies. Furthermore, the program aspires to educate individuals who are responsive to societal needs, open to lifelong learning, and capable of engaging in interdisciplinary work.

Vision
The vision of the Bachelor's Program in Computer Information Systems is to become an innovative and solution-oriented academic program that is recognized at both national and international levels in the fields of informatics systems and information technologies. The program prioritizes quality in education, sustainability in research, and impact in societal contribution, aiming to educate individuals capable of shaping technological advancements. With a focus on data-driven decision-making, digital transformation, and a multidisciplinary work culture, the program aspires to be a leading department that contributes to the advancement of the information technology sector and academia."
"Tell me about the Cybersecurityengineering program at Near East University.","Department of Cyber Security Engineering
Bachelor of Cyber Security Engineering Curriculum Overview
Main website link: https://aif.neu.edu.tr/
Curriculum link: https://aif.neu.edu.tr/academic/academic-programmes/department-of-cyber-security-engineering/

T (Theory Hours): The number of hours dedicated to lectures or theoretical learning in the course.
P (Practice Hours): The number of hours spent on practical work, labs, or hands-on activities.
C (Credits): The credit value assigned to the course, reflecting its academic weight.
E (ECTS): European Credit Transfer and Accumulation System, representing the workload and learning outcomes.

Course Type Legend:
C = Compulsory Course
E = Elective Course"
"What is the Cybersecurityengineering program?","Department of Cyber Security Engineering
Bachelor of Cyber Security Engineering Curriculum Overview
Main website link: https://aif.neu.edu.tr/
Curriculum link: https://aif.neu.edu.tr/academic/academic-programmes/department-of-cyber-security-engineering/

T (Theory Hours): The number of hours dedicated to lectures or theoretical learning in the course.
P (Practice Hours): The number of hours spent on practical work, labs, or hands-on activities.
C (Credits): The credit value assigned to the course, reflecting its academic weight.
E (ECTS): European Credit Transfer and Accumulation System, representing the workload and learning outcomes.

Course Type Legend:
C = Compulsory Course
E = Elective Course"
"What courses will I take in first year first semester of Cybersecurityengineering?","In the first year first semester of Cybersecurityengineering, you will study:

First Year - First Semester Courses (Year One or 1 First Semester):
MTH113, LINEAR ALGEBRA, T: 3, P: 0, C: 3, E: 5
AII102, PROGRAMMING AND PROBLEM SOLVING, T: 3, P: 2, C: 4, E: 5
ENG101, ENGLISH I, T: 3, P: 0, C: 3, E: 3
MTH101, CALCULUS I, T: 4, P: 0, C: 4, E: 5
PHY101, GENERAL PHYSICS I, T: 3, P: 2, C: 4, E: 5
CAM100, CAMPUS ORIENTATION, T: 2, P: 0, C: 0, E: 2
CHM101, GENERAL CHEMISTRY I, T: 3, P: 2, C: 4, E: 5

Total: T: 21, P: 6, C: 22, E: 30"
"List the first year first semester courses for Cybersecurityengineering","In the first year first semester of Cybersecurityengineering, you will study:

First Year - First Semester Courses (Year One or 1 First Semester):
MTH113, LINEAR ALGEBRA, T: 3, P: 0, C: 3, E: 5
AII102, PROGRAMMING AND PROBLEM SOLVING, T: 3, P: 2, C: 4, E: 5
ENG101, ENGLISH I, T: 3, P: 0, C: 3, E: 3
MTH101, CALCULUS I, T: 4, P: 0, C: 4, E: 5
PHY101, GENERAL PHYSICS I, T: 3, P: 2, C: 4, E: 5
CAM100, CAMPUS ORIENTATION, T: 2, P: 0, C: 0, E: 2
CHM101, GENERAL CHEMISTRY I, T: 3, P: 2, C: 4, E: 5

Total: T: 21, P: 6, C: 22, E: 30"
"What courses will I take in first year second semester of Cybersecurityengineering?","In the first year second semester of Cybersecurityengineering, you will study:

First Year - Second Semester Courses (Year One or 1 Second Semester):
AII104, DISCRETE STRUCTURES, T: 3, P: 0, C: 3, E: 6
ENG102, ENGLISH II, T: 3, P: 0, C: 3, E: 3
MTH102, CALCULUS II, T: 4, P: 0, C: 4, E: 6
PHY102, GENERAL PHYSICS II, T: 3, P: 2, C: 4, E: 6
AII108, OBJECT ORIENTED PROGRAMMING, T: 2, P: 2, C: 3, E: 5
GEC351, 21ST CENTURY SKILLS, T: 2, P: 0, C: 0, E: 2
CAR100, CAREER PLANNING, T: 2, P: 0, C: 0, E: 2

Total: T: 19, P: 4, C: 17, E: 30"
"List the first year second semester courses for Cybersecurityengineering","In the first year second semester of Cybersecurityengineering, you will study:

First Year - Second Semester Courses (Year One or 1 Second Semester):
AII104, DISCRETE STRUCTURES, T: 3, P: 0, C: 3, E: 6
ENG102, ENGLISH II, T: 3, P: 0, C: 3, E: 3
MTH102, CALCULUS II, T: 4, P: 0, C: 4, E: 6
PHY102, GENERAL PHYSICS II, T: 3, P: 2, C: 4, E: 6
AII108, OBJECT ORIENTED PROGRAMMING, T: 2, P: 2, C: 3, E: 5
GEC351, 21ST CENTURY SKILLS, T: 2, P: 0, C: 0, E: 2
CAR100, CAREER PLANNING, T: 2, P: 0, C: 0, E: 2

Total: T: 19, P: 4, C: 17, E: 30"
"What courses will I take in second year first semester of Cybersecurityengineering?","In the second year first semester of Cybersecurityengineering, you will study:

Second Year - First Semester Courses (Year Two or 2 First Semester):
AII001, LOGIC DESIGN, T: 3, P: 2, C: 4, E: 6
AII201, DATA STRUCTURES & ALGORITHMS, T: 3, P: 2, C: 4, E: 6
CSE002, INTRODUCTION TO CYBER SECURITY ENGINEERING, T: 3, P: 0, C: 3, E: 3
MTH201, DIFFERENTIAL EQUATIONS, T: 4, P: 0, C: 4, E: 6
CSE003, INTRODUCTION TO ENGINEERING, T: 3, P: 0, C: 3, E: 5
AIT103, ATATÜRK PRINCIPLES AND REFORMS I, T: 2, P: 0, C: 2, E: 2
YIT101, TURKISH FOR FOREIGNERS I, T: 2, P: 0, C: 2, E: 2

Total: T: 20, P: 4, C: 22, E: 30"
"List the second year first semester courses for Cybersecurityengineering","In the second year first semester of Cybersecurityengineering, you will study:

Second Year - First Semester Courses (Year Two or 2 First Semester):
AII001, LOGIC DESIGN, T: 3, P: 2, C: 4, E: 6
AII201, DATA STRUCTURES & ALGORITHMS, T: 3, P: 2, C: 4, E: 6
CSE002, INTRODUCTION TO CYBER SECURITY ENGINEERING, T: 3, P: 0, C: 3, E: 3
MTH201, DIFFERENTIAL EQUATIONS, T: 4, P: 0, C: 4, E: 6
CSE003, INTRODUCTION TO ENGINEERING, T: 3, P: 0, C: 3, E: 5
AIT103, ATATÜRK PRINCIPLES AND REFORMS I, T: 2, P: 0, C: 2, E: 2
YIT101, TURKISH FOR FOREIGNERS I, T: 2, P: 0, C: 2, E: 2

Total: T: 20, P: 4, C: 22, E: 30"
"What courses will I take in second year second semester of Cybersecurityengineering?","In the second year second semester of Cybersecurityengineering, you will study:

Second Year - Second Semester Courses (Year Two or 2 Second Semester):
AII202, DATABASE MANAGEMENT SYSTEMS, T: 4, P: 0, C: 4, E: 5
CSE004, INTRODUCTION TO COMPUTATION AND PROGRAMMING, T: 2, P: 2, C: 3, E: 5
CSE005, CRYPTOGRAPHY FUNDAMENTALS, T: 4, P: 0, C: 3, E: 4
MTH251, PROBABILITY AND STATISTICS, T: 3, P: 0, C: 3, E: 6
AIT104, ATATÜRK PRINCIPLES AND REFORMS II, T: 2, P: 0, C: 0, E: 2
YIT102, TURKISH FOR FOREIGNERS II, T: 2, P: 0, C: 2, E: 2
CSE299, SUMMER TRAINING I, T: 0, P: 2, C: 0, E: 6

Total: T: 17, P: 4, C: 17, E: 30"
"List the second year second semester courses for Cybersecurityengineering","In the second year second semester of Cybersecurityengineering, you will study:

Second Year - Second Semester Courses (Year Two or 2 Second Semester):
AII202, DATABASE MANAGEMENT SYSTEMS, T: 4, P: 0, C: 4, E: 5
CSE004, INTRODUCTION TO COMPUTATION AND PROGRAMMING, T: 2, P: 2, C: 3, E: 5
CSE005, CRYPTOGRAPHY FUNDAMENTALS, T: 4, P: 0, C: 3, E: 4
MTH251, PROBABILITY AND STATISTICS, T: 3, P: 0, C: 3, E: 6
AIT104, ATATÜRK PRINCIPLES AND REFORMS II, T: 2, P: 0, C: 0, E: 2
YIT102, TURKISH FOR FOREIGNERS II, T: 2, P: 0, C: 2, E: 2
CSE299, SUMMER TRAINING I, T: 0, P: 2, C: 0, E: 6

Total: T: 17, P: 4, C: 17, E: 30"
"What courses will I take in third year first semester of Cybersecurityengineering?","In the third year first semester of Cybersecurityengineering, you will study:

Third Year - First Semester Courses (Year Three or 3 First Semester):
CSE006, INTRODUCTION TO COMPUTING FOR DIGITAL SYSTEMS ENGINEERING, T: 3, P: 2, C: 3, E: 4
CSE007, RF SOFTWARE ENGINEERING, T: 4, P: 0, C: 4, E: 5
CSE008, DATA COMMUNICATION, T: 3, P: 0, C: 3, E: 5
AII302, OPERATING SYSTEMS, T: 4, P: 0, C: 3, E: 6
AII439, OCCUPATIONAL HEALTH AND SAFETY I, T: 2, P: 0, C: 2, E: 4
ENG201, ORAL COMMUNICATION SKILLS, T: 2, P: 0, C: 3, E: 4
CHC100, CYPRUS HISTORY AND CULTURE, T: 2, P: 0, C: 2, E: 2

Total: T: 20, P: 2, C: 20, E: 30"
"List the third year first semester courses for Cybersecurityengineering","In the third year first semester of Cybersecurityengineering, you will study:

Third Year - First Semester Courses (Year Three or 3 First Semester):
CSE006, INTRODUCTION TO COMPUTING FOR DIGITAL SYSTEMS ENGINEERING, T: 3, P: 2, C: 3, E: 4
CSE007, RF SOFTWARE ENGINEERING, T: 4, P: 0, C: 4, E: 5
CSE008, DATA COMMUNICATION, T: 3, P: 0, C: 3, E: 5
AII302, OPERATING SYSTEMS, T: 4, P: 0, C: 3, E: 6
AII439, OCCUPATIONAL HEALTH AND SAFETY I, T: 2, P: 0, C: 2, E: 4
ENG201, ORAL COMMUNICATION SKILLS, T: 2, P: 0, C: 3, E: 4
CHC100, CYPRUS HISTORY AND CULTURE, T: 2, P: 0, C: 2, E: 2

Total: T: 20, P: 2, C: 20, E: 30"
"What courses will I take in third year second semester of Cybersecurityengineering?","In the third year second semester of Cybersecurityengineering, you will study:

Third Year - Second Semester Courses (Year Three or 3 Second Semester):
CSE009, COMPUTER NETWORKING, T: 3, P: 0, C: 3, E: 5
CSE010, SYSTEMS ENGINEERING, T: 3, P: 0, C: 3, E: 5
CSE011, POWER SYSTEMS AND SMART GRID SECURITY, T: 3, P: 0, C: 4, E: 6
CSE012, TRANSPORTATION SYSTEMS DESIGN, T: 3, P: 0, C: 4, E: 6
AII440, OCCUPATIONAL HEALTH AND SAFETY II, T: 3, P: 0, C: 3, E: 2
CSE399, SUMMER TRAINING II, T: 0, P: 2, C: 0, E: 6

Total: T: 15, P: 2, C: 17, E: 30"
"List the third year second semester courses for Cybersecurityengineering","In the third year second semester of Cybersecurityengineering, you will study:

Third Year - Second Semester Courses (Year Three or 3 Second Semester):
CSE009, COMPUTER NETWORKING, T: 3, P: 0, C: 3, E: 5
CSE010, SYSTEMS ENGINEERING, T: 3, P: 0, C: 3, E: 5
CSE011, POWER SYSTEMS AND SMART GRID SECURITY, T: 3, P: 0, C: 4, E: 6
CSE012, TRANSPORTATION SYSTEMS DESIGN, T: 3, P: 0, C: 4, E: 6
AII440, OCCUPATIONAL HEALTH AND SAFETY II, T: 3, P: 0, C: 3, E: 2
CSE399, SUMMER TRAINING II, T: 0, P: 2, C: 0, E: 6

Total: T: 15, P: 2, C: 17, E: 30"
"What courses will I take in fourth year first semester of Cybersecurityengineering?","In the fourth year first semester of Cybersecurityengineering, you will study:

Fourth Year - First Semester Courses (Year Four or 4 First Semester - Final Year First Semester):
CSE013, ENGINEERING SENIOR SEMINAR, T: 3, P: 2, C: 4, E: 5
CSE014, INDUSTRIAL CONTROL SYSTEMS SECURITY, T: 3, P: 0, C: 4, E: 5
CSE510, SENIOR ADVANCED DESIGN PROJECT I, T: 3, P: 0, C: 3, E: 5
CSE015, EMBEDDED AND REAL TIME SYSTEMS, T: 4, P: 2, C: 4, E: 5
TE, TECHNICAL ELECTIVE, T: 2, P: 2, C: 3, E: 5
TE, TECHNICAL ELECTIVE, T: 2, P: 2, C: 3, E: 5

Total: T: 17, P: 8, C: 21, E: 30"
"List the fourth year first semester courses for Cybersecurityengineering","In the fourth year first semester of Cybersecurityengineering, you will study:

Fourth Year - First Semester Courses (Year Four or 4 First Semester - Final Year First Semester):
CSE013, ENGINEERING SENIOR SEMINAR, T: 3, P: 2, C: 4, E: 5
CSE014, INDUSTRIAL CONTROL SYSTEMS SECURITY, T: 3, P: 0, C: 4, E: 5
CSE510, SENIOR ADVANCED DESIGN PROJECT I, T: 3, P: 0, C: 3, E: 5
CSE015, EMBEDDED AND REAL TIME SYSTEMS, T: 4, P: 2, C: 4, E: 5
TE, TECHNICAL ELECTIVE, T: 2, P: 2, C: 3, E: 5
TE, TECHNICAL ELECTIVE, T: 2, P: 2, C: 3, E: 5

Total: T: 17, P: 8, C: 21, E: 30"
"What courses will I take in fourth year second semester of Cybersecurityengineering?","In the fourth year second semester of Cybersecurityengineering, you will study:

Fourth Year - Second Semester Courses (Year Four or 4 Second Semester - Final Year Second Semester):
CSE511, SENIOR ADVANCED DESIGN PROJECT II, T: 3, P: 0, C: 3, E: 5
CSE016, HUMAN FACTORS AND CYBER SECURITY ENGINEERING, T: 3, P: 0, C: 3, E: 5
CSE017, SYSTEM SECURITY AND RESILIENCE SYSTEM, T: 3, P: 2, C: 4, E: 5
CSE018, MOBILE DEVICES AND NETWORK SECURITY, T: 4, P: 2, C: 4, E: 5
TE, TECHNICAL ELECTIVE, T: 3, P: 0, C: 3, E: 5
TE, TECHNICAL ELECTIVE, T: 3, P: 0, C: 3, E: 5

Total: T: 19, P: 4, C: 20, E: 30"
"List the fourth year second semester courses for Cybersecurityengineering","In the fourth year second semester of Cybersecurityengineering, you will study:

Fourth Year - Second Semester Courses (Year Four or 4 Second Semester - Final Year Second Semester):
CSE511, SENIOR ADVANCED DESIGN PROJECT II, T: 3, P: 0, C: 3, E: 5
CSE016, HUMAN FACTORS AND CYBER SECURITY ENGINEERING, T: 3, P: 0, C: 3, E: 5
CSE017, SYSTEM SECURITY AND RESILIENCE SYSTEM, T: 3, P: 2, C: 4, E: 5
CSE018, MOBILE DEVICES AND NETWORK SECURITY, T: 4, P: 2, C: 4, E: 5
TE, TECHNICAL ELECTIVE, T: 3, P: 0, C: 3, E: 5
TE, TECHNICAL ELECTIVE, T: 3, P: 0, C: 3, E: 5

Total: T: 19, P: 4, C: 20, E: 30"
"What career opportunities are available after graduating from Cybersecurityengineering?","Career Opportunities for Cyber Security Engineering Graduates:
Cyber Security Engineer
Network Security Specialist
Security Analyst
Information Security Officer
Cryptography Specialist
Industrial Control Systems Security Engineer
Security Architect
Digital Forensics Investigator
Incident Response Specialist
Security Consultant
Vulnerability Analyst
Penetration Tester
Security Operations Center (SOC) Analyst
Cyber Security Researcher"
"What jobs can I get with a Cybersecurityengineering degree?","Career Opportunities for Cyber Security Engineering Graduates:
Cyber Security Engineer
Network Security Specialist
Security Analyst
Information Security Officer
Cryptography Specialist
Industrial Control Systems Security Engineer
Security Architect
Digital Forensics Investigator
Incident Response Specialist
Security Consultant
Vulnerability Analyst
Penetration Tester
Security Operations Center (SOC) Analyst
Cyber Security Researcher"
"What can I do after graduating from Cybersecurityengineering?","Career Opportunities for Cyber Security Engineering Graduates:
Cyber Security Engineer
Network Security Specialist
Security Analyst
Information Security Officer
Cryptography Specialist
Industrial Control Systems Security Engineer
Security Architect
Digital Forensics Investigator
Incident Response Specialist
Security Consultant
Vulnerability Analyst
Penetration Tester
Security Operations Center (SOC) Analyst
Cyber Security Researcher"
"What elective courses are available in the Cybersecurityengineering program?","The Cybersecurityengineering program offers the following elective courses:

Department of Cyber Security Engineering
Bachelor of Cyber Security Engineering Curriculum Overview
Main website link: https://aif.neu.edu.tr/
Curriculum link: https://aif.neu.edu.tr/academic/academic-programmes/department-of-cyber-security-engineering/

T (Theory Hours): The number of hours dedicated to lectures or theoretical learning in the course.
P (Practice Hours): The number of hours spent on practical work, labs, or hands-on activities.
C (Credits): The credit value assigned to the course, reflecting its academic weight.
E (ECTS): European Credit Transfer and Accumulation System, representing the workload and learning outcomes.

Course Type Legend:
C = Compulsory Course
E = Elective Course"
"Tell me about elective courses for Cybersecurityengineering","The Cybersecurityengineering program offers the following elective courses:

Department of Cyber Security Engineering
Bachelor of Cyber Security Engineering Curriculum Overview
Main website link: https://aif.neu.edu.tr/
Curriculum link: https://aif.neu.edu.tr/academic/academic-programmes/department-of-cyber-security-engineering/

T (Theory Hours): The number of hours dedicated to lectures or theoretical learning in the course.
P (Practice Hours): The number of hours spent on practical work, labs, or hands-on activities.
C (Credits): The credit value assigned to the course, reflecting its academic weight.
E (ECTS): European Credit Transfer and Accumulation System, representing the workload and learning outcomes.

Course Type Legend:
C = Compulsory Course
E = Elective Course"
"How long is the Cybersecurityengineering program?","Cyber Security Engineering Program Summary:
- Department: Cyber Security Engineering
- Degree: Bachelor of Science
- Total Semesters: 8
- Total Courses: 50
- Total Electives: 14
- Total Credits: 152
- Total ECTS Credits: 240
- Elective Percentage: 26%
- Language of Instruction: English

Key Specializations:
- Network Security and Cryptography
- Industrial Control Systems Security
- Embedded Systems Security
- Mobile and Wireless Security
- Smart Grid and Critical Infrastructure Protection
- Digital Forensics and Incident Response"
"What is the duration of Cybersecurityengineering studies?","Cyber Security Engineering Program Summary:
- Department: Cyber Security Engineering
- Degree: Bachelor of Science
- Total Semesters: 8
- Total Courses: 50
- Total Electives: 14
- Total Credits: 152
- Total ECTS Credits: 240
- Elective Percentage: 26%
- Language of Instruction: English

Key Specializations:
- Network Security and Cryptography
- Industrial Control Systems Security
- Embedded Systems Security
- Mobile and Wireless Security
- Smart Grid and Critical Infrastructure Protection
- Digital Forensics and Incident Response"
"What are the focus areas of Cybersecurityengineering?","Cyber Security Engineering Program Summary:
- Department: Cyber Security Engineering
- Degree: Bachelor of Science
- Total Semesters: 8
- Total Courses: 50
- Total Electives: 14
- Total Credits: 152
- Total ECTS Credits: 240
- Elective Percentage: 26%
- Language of Instruction: English

Key Specializations:
- Network Security and Cryptography
- Industrial Control Systems Security
- Embedded Systems Security
- Mobile and Wireless Security
- Smart Grid and Critical Infrastructure Protection
- Digital Forensics and Incident Response"
"What specializations does Cybersecurityengineering offer?","Cyber Security Engineering Program Summary:
- Department: Cyber Security Engineering
- Degree: Bachelor of Science
- Total Semesters: 8
- Total Courses: 50
- Total Electives: 14
- Total Credits: 152
- Total ECTS Credits: 240
- Elective Percentage: 26%
- Language of Instruction: English

Key Specializations:
- Network Security and Cryptography
- Industrial Control Systems Security
- Embedded Systems Security
- Mobile and Wireless Security
- Smart Grid and Critical Infrastructure Protection
- Digital Forensics and Incident Response"
"Tell me about the Facultyoftourism program at Near East University.","Faculty of Tourism Bachelor Curriculum Overview
Main website link: https://turizm.neu.edu.tr/?lang=en
Course scheduling link: https://turizm.neu.edu.tr/course-registration/time-table/?lang=en
Curriculum link: https://neu.edu.tr/wp-content/uploads/2020/09/03/tourism-and-hotel-management-03.09.2020.pdf

Degree: Bachelor of Tourism and Hotel Management
Program Duration: 4 years (8 semesters)
Language of Instruction: English"
"What is the Facultyoftourism program?","Faculty of Tourism Bachelor Curriculum Overview
Main website link: https://turizm.neu.edu.tr/?lang=en
Course scheduling link: https://turizm.neu.edu.tr/course-registration/time-table/?lang=en
Curriculum link: https://neu.edu.tr/wp-content/uploads/2020/09/03/tourism-and-hotel-management-03.09.2020.pdf

Degree: Bachelor of Tourism and Hotel Management
Program Duration: 4 years (8 semesters)
Language of Instruction: English"
"What courses will I take in first year first semester of Facultyoftourism?","In the first year first semester of Facultyoftourism, you will study:

First Year - First Semester Courses:
THM111, Introduction to Tourism, Credit: 3, ECTS: 6
THM115, Introduction to Business, Credit: 3, ECTS: 6
THM131, Math for Hospitality Industry, Credit: 3, ECTS: 5
THM161, Introduction to Computer, Credit: 3, ECTS: 4
ENG101, English I, Credit: 3, ECTS: 6
LANG101, Elective Language I, Credit: 3, ECTS: 3
AIT101, History of Turkish Reforms, Credit: 0, ECTS: 2

Total: Credits: 18, ECTS: 30"
