prompt,messages,category
What specializations does Automotive Engineering offer?,"[{""content"": ""What specializations does Automotive Engineering offer?"", ""role"": ""user""}, {""content"": ""Technical Elective Courses (TE) - Automotive Engineering Specializations:\nME403, Theory of Machines 2, Credit:3, ECTS:6, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nME443, Computational Fluid Dynamics, Credit:3, ECTS:6, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nME451, Advanced Strength of Materials, Credit:3, ECTS:6, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nEE435, Mechatronics, Credit:3, ECTS:5, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nME418, Refrigeration Techniques, Credit:3, ECTS:6, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE411, Transmission Systems, Credit:3, ECTS:5, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nME423, Heat Exchanger Design, Credit:3, ECTS:6, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE421, Fuel Cells, Credit:3, ECTS:5, Class:3, LAB:0, Practical:0, PS:0, C:2, R:2, T:0\nME426, Introduction to Finite Element Method, Credit:3, ECTS:6, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nME429, Computer Aided Design (CAD), Credit:3, ECTS:6, Class:3, LAB:0, Practical:0, PS:0, C:2, R:2, T:0\nAUE422, Internal Combustion Engine Design, Credit:3, ECTS:5, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE431, Electronic Systems in Vehicles, Credit:3, ECTS:5, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE432, Automotive Sensors and Measurement Systems, Credit:3, ECTS:5, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nAUE452, Electric and Hybrid Vehicle, Credit:3, ECTS:5, Class:3, LAB:0, Practical:0, PS:2, C:1, R:1, T:0\nME453, Materials Engineering, Credit:3, ECTS:6, Class:3, LAB:0, Practical:0, PS:1, C:2, R:0, T:0\nME454, Heat Treatment, Credit:3, ECTS:6, Class:3, LAB:0, Practical:0, PS:0, C:1, R:2, T:0\nME472, Quality Control, Credit:3, ECTS:6, Class:3, LAB:0, Practical:0, PS:0, C:2, R:2, T:0\nECC404, Artificial Neural Network, Credit:3, ECTS:6, Class:3, LAB:0, Practical:0, PS:0, C:2, R:2, T:0\nECC419, Digital Image Processing, Credit:3, ECTS:6, Class:3, LAB:0, Practical:0, PS:0, C:2, R:2, T:0\nAUE441, Intelligent Vehicle Technology, Credit:3, ECTS:6, Class:3, LAB:0, Practical:0, PS:0, C:2, R:2, T:0\nAUE442, Electronic Instrumentation, Credit:3, ECTS:6, Class:3, LAB:0, Practical:0, PS:0, C:2, R:2, T:0"", ""role"": ""assistant""}]",Program Information
Tell me about the Analyticsengineering program at Near East University.,"[{""content"": ""Tell me about the Analyticsengineering program at Near East University."", ""role"": ""user""}, {""content"": ""Technical Elective Courses (TE) - Available Options:\nAII419, IMAGE PROCESSING, T: 2, U: 2, C: 3, E: 5\nAII415, DECISION MAKING, T: 2, U: 2, C: 3, E: 5\nAIE411, ADVANCED DATA ANALYSIS, T: 2, U: 2, C: 3, E: 5\nAIE412, INFORMATION RETRIEVAL AND WEB SEARCH, T: 2, U: 2, C: 3, E: 5\nAIE413, HUMAN-ROBOT INTERACTION, T: 2, U: 2, C: 3, E: 5\nAIE414, DEEP REINFORCEMENT LEARNING AND CONTROL, T: 2, U: 2, C: 3, E: 5\nAIE415, MOBILE ROBOT PROGRAMMING, T: 2, U: 2, C: 3, E: 5\nAIE416, AUTONOMOUS AGENTS, T: 2, U: 2, C: 3, E: 5\nAIE417, INTRODUCTION TO QUANTUM COMPUTING, T: 2, U: 2, C: 3, E: 5\nAIE418, COMPUTER ANIMATION & VISUALIZATION, T: 2, U: 2, C: 3, E: 5\nAIE419, ALGORITHMIC GAME THEORY AND ITS APPLICATIONS, T: 2, U: 2, C: 3, E: 5\nAIE420, FUZZY SYSTEMS, T: 2, U: 2, C: 3, E: 5\nAIE458, AI AND INTERNET OF THINGS, T: 2, U: 2, C: 3, E: 5\nAIE457, AI AND CLOUD COMPUTING, T: 2, U: 2, C: 3, E: 5\nDAE022, BIG DATA SYSTEMS, T: 2, U: 2, C: 3, E: 5\nDAE023, DATA SECURITY AND PRIVACY FOR ANALYTICS, T: 2, U: 2, C: 3, E: 5\nDAE024, BUSINESS ANALYTICS, T: 2, U: 2, C: 3, E: 5\nDAE025, HEALTH INFORMATICS, T: 2, U: 2, C: 3, E: 5"", ""role"": ""assistant""}]",Program Information
What is the Analyticsengineering program?,"[{""content"": ""What is the Analyticsengineering program?"", ""role"": ""user""}, {""content"": ""Technical Elective Courses (TE) - Available Options:\nAII419, IMAGE PROCESSING, T: 2, U: 2, C: 3, E: 5\nAII415, DECISION MAKING, T: 2, U: 2, C: 3, E: 5\nAIE411, ADVANCED DATA ANALYSIS, T: 2, U: 2, C: 3, E: 5\nAIE412, INFORMATION RETRIEVAL AND WEB SEARCH, T: 2, U: 2, C: 3, E: 5\nAIE413, HUMAN-ROBOT INTERACTION, T: 2, U: 2, C: 3, E: 5\nAIE414, DEEP REINFORCEMENT LEARNING AND CONTROL, T: 2, U: 2, C: 3, E: 5\nAIE415, MOBILE ROBOT PROGRAMMING, T: 2, U: 2, C: 3, E: 5\nAIE416, AUTONOMOUS AGENTS, T: 2, U: 2, C: 3, E: 5\nAIE417, INTRODUCTION TO QUANTUM COMPUTING, T: 2, U: 2, C: 3, E: 5\nAIE418, COMPUTER ANIMATION & VISUALIZATION, T: 2, U: 2, C: 3, E: 5\nAIE419, ALGORITHMIC GAME THEORY AND ITS APPLICATIONS, T: 2, U: 2, C: 3, E: 5\nAIE420, FUZZY SYSTEMS, T: 2, U: 2, C: 3, E: 5\nAIE458, AI AND INTERNET OF THINGS, T: 2, U: 2, C: 3, E: 5\nAIE457, AI AND CLOUD COMPUTING, T: 2, U: 2, C: 3, E: 5\nDAE022, BIG DATA SYSTEMS, T: 2, U: 2, C: 3, E: 5\nDAE023, DATA SECURITY AND PRIVACY FOR ANALYTICS, T: 2, U: 2, C: 3, E: 5\nDAE024, BUSINESS ANALYTICS, T: 2, U: 2, C: 3, E: 5\nDAE025, HEALTH INFORMATICS, T: 2, U: 2, C: 3, E: 5"", ""role"": ""assistant""}]",Program Information
What courses will I take in first year first semester of Analyticsengineering?,"[{""content"": ""What courses will I take in first year first semester of Analyticsengineering?"", ""role"": ""user""}, {""content"": ""In the first year first semester of Analyticsengineering, you will study:\n\nFirst Year - First Semester Courses (Year One or 1 First Semester):\nMTH113, LINEAR ALGEBRA, T: 3, U: 0, C: 3, E: 5\nAII102, PROGRAMMING AND PROBLEM SOLVING, T: 3, U: 2, C: 4, E: 5\nENG101, ENGLISH I, T: 2, U: 0, C: 2, E: 5\nMTH101, CALCULUS I, T: 4, U: 0, C: 4, E: 5\nPHY101, GENERAL PHYSICS I, T: 2, U: 2, C: 4, E: 5\nCAM100, CAMPUS ORIENTATION, T: 0, U: 0, C: 0, E: 5\nCHM101, GENERAL CHEMISTRY I, T: 2, U: 2, C: 4, E: 5\n\nTotal: T: 21, U: 6, C: 19, E: 30"", ""role"": ""assistant""}]",Course Information
List the first year first semester courses for Analyticsengineering,"[{""content"": ""List the first year first semester courses for Analyticsengineering"", ""role"": ""user""}, {""content"": ""In the first year first semester of Analyticsengineering, you will study:\n\nFirst Year - First Semester Courses (Year One or 1 First Semester):\nMTH113, LINEAR ALGEBRA, T: 3, U: 0, C: 3, E: 5\nAII102, PROGRAMMING AND PROBLEM SOLVING, T: 3, U: 2, C: 4, E: 5\nENG101, ENGLISH I, T: 2, U: 0, C: 2, E: 5\nMTH101, CALCULUS I, T: 4, U: 0, C: 4, E: 5\nPHY101, GENERAL PHYSICS I, T: 2, U: 2, C: 4, E: 5\nCAM100, CAMPUS ORIENTATION, T: 0, U: 0, C: 0, E: 5\nCHM101, GENERAL CHEMISTRY I, T: 2, U: 2, C: 4, E: 5\n\nTotal: T: 21, U: 6, C: 19, E: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in first year second semester of Analyticsengineering?,"[{""content"": ""What courses will I take in first year second semester of Analyticsengineering?"", ""role"": ""user""}, {""content"": ""In the first year second semester of Analyticsengineering, you will study:\n\nFirst Year - Second Semester Courses (Year One or 1 Second Semester):\nAII104, DISCRETE STRUCTURES, T: 3, U: 0, C: 3, E: 5\nENG102, ENGLISH II, T: 2, U: 0, C: 2, E: 3\nMTH102, CALCULUS II, T: 4, U: 0, C: 4, E: 6\nPHY102, GENERAL PHYSICS II, T: 2, U: 2, C: 4, E: 6\nAII108, OBJECT ORIENTED PROGRAMMING, T: 2, U: 2, C: 3, E: 6\nYIT101, TURKISH FOR FOREIGNERS I, T: 2, U: 0, C: 2, E: 2\nGEC351, 21st CENTURY SKILLS, T: 0, U: 0, C: 0, E: 2\n\nTotal: T: 19, U: 4, C: 18, E: 30"", ""role"": ""assistant""}]",Course Information
List the first year second semester courses for Analyticsengineering,"[{""content"": ""List the first year second semester courses for Analyticsengineering"", ""role"": ""user""}, {""content"": ""In the first year second semester of Analyticsengineering, you will study:\n\nFirst Year - Second Semester Courses (Year One or 1 Second Semester):\nAII104, DISCRETE STRUCTURES, T: 3, U: 0, C: 3, E: 5\nENG102, ENGLISH II, T: 2, U: 0, C: 2, E: 3\nMTH102, CALCULUS II, T: 4, U: 0, C: 4, E: 6\nPHY102, GENERAL PHYSICS II, T: 2, U: 2, C: 4, E: 6\nAII108, OBJECT ORIENTED PROGRAMMING, T: 2, U: 2, C: 3, E: 6\nYIT101, TURKISH FOR FOREIGNERS I, T: 2, U: 0, C: 2, E: 2\nGEC351, 21st CENTURY SKILLS, T: 0, U: 0, C: 0, E: 2\n\nTotal: T: 19, U: 4, C: 18, E: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in second year first semester of Analyticsengineering?,"[{""content"": ""What courses will I take in second year first semester of Analyticsengineering?"", ""role"": ""user""}, {""content"": ""In the second year first semester of Analyticsengineering, you will study:\n\nSecond Year - First Semester Courses (Year Two or 2 First Semester):\nDAE001, ADVANCED ALGEBRA AND CALCULUS, T: 2, U: 2, C: 4, E: 6\nAII201, DATA STRUCTURES & ALGORITHMS, T: 2, U: 2, C: 4, E: 6\nDAE003, INFORMATION THEORY, T: 0, U: 4, C: 4, E: 4\nMTH201, DIFFERENTIAL EQUATIONS, T: 0, U: 4, C: 4, E: 6\nDAE002, INTRODUCTION TO AUDIOVISUAL PROCESSING, T: 0, U: 3, C: 3, E: 4\nAIT103, ATATÜRK PRINCIPLES AND REFORMS I, T: 0, U: 2, C: 2, E: 2\nYIT102, TURKISH FOR FOREIGNERS II, T: 0, U: 2, C: 2, E: 2\n\nTotal: T: 20, U: 4, C: 23, E: 30"", ""role"": ""assistant""}]",Course Information
List the second year first semester courses for Analyticsengineering,"[{""content"": ""List the second year first semester courses for Analyticsengineering"", ""role"": ""user""}, {""content"": ""In the second year first semester of Analyticsengineering, you will study:\n\nSecond Year - First Semester Courses (Year Two or 2 First Semester):\nDAE001, ADVANCED ALGEBRA AND CALCULUS, T: 2, U: 2, C: 4, E: 6\nAII201, DATA STRUCTURES & ALGORITHMS, T: 2, U: 2, C: 4, E: 6\nDAE003, INFORMATION THEORY, T: 0, U: 4, C: 4, E: 4\nMTH201, DIFFERENTIAL EQUATIONS, T: 0, U: 4, C: 4, E: 6\nDAE002, INTRODUCTION TO AUDIOVISUAL PROCESSING, T: 0, U: 3, C: 3, E: 4\nAIT103, ATATÜRK PRINCIPLES AND REFORMS I, T: 0, U: 2, C: 2, E: 2\nYIT102, TURKISH FOR FOREIGNERS II, T: 0, U: 2, C: 2, E: 2\n\nTotal: T: 20, U: 4, C: 23, E: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in second year second semester of Analyticsengineering?,"[{""content"": ""What courses will I take in second year second semester of Analyticsengineering?"", ""role"": ""user""}, {""content"": ""In the second year second semester of Analyticsengineering, you will study:\n\nSecond Year - Second Semester Courses (Year Two or 2 Second Semester):\nAII202, DATABASE MANAGEMENT SYSTEMS, T: 4, U: 0, C: 4, E: 5\nDAE004, DATA ENGINEERING THEORY, T: 2, U: 2, C: 3, E: 5\nDAE005, SIGNALS AND SYSTEMS, T: 0, U: 4, C: 4, E: 4\nMTH251, PROBABILITY AND STATISTICS, T: 0, U: 3, C: 3, E: 6\nAIT104, ATATÜRK PRINCIPLES AND REFORMS II, T: 0, U: 2, C: 2, E: 2\nAIE299, SUMMER TRAINING I, T: 2, U: 0, C: 0, E: 6\nCHC100, CYPRUS HISTORY AND CULTURE, T: 0, U: 0, C: 0, E: 2\n\nTotal: T: 18, U: 4, C: 16, E: 30"", ""role"": ""assistant""}]",Course Information
List the second year second semester courses for Analyticsengineering,"[{""content"": ""List the second year second semester courses for Analyticsengineering"", ""role"": ""user""}, {""content"": ""In the second year second semester of Analyticsengineering, you will study:\n\nSecond Year - Second Semester Courses (Year Two or 2 Second Semester):\nAII202, DATABASE MANAGEMENT SYSTEMS, T: 4, U: 0, C: 4, E: 5\nDAE004, DATA ENGINEERING THEORY, T: 2, U: 2, C: 3, E: 5\nDAE005, SIGNALS AND SYSTEMS, T: 0, U: 4, C: 4, E: 4\nMTH251, PROBABILITY AND STATISTICS, T: 0, U: 3, C: 3, E: 6\nAIT104, ATATÜRK PRINCIPLES AND REFORMS II, T: 0, U: 2, C: 2, E: 2\nAIE299, SUMMER TRAINING I, T: 2, U: 0, C: 0, E: 6\nCHC100, CYPRUS HISTORY AND CULTURE, T: 0, U: 0, C: 0, E: 2\n\nTotal: T: 18, U: 4, C: 16, E: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in third year first semester of Analyticsengineering?,"[{""content"": ""What courses will I take in third year first semester of Analyticsengineering?"", ""role"": ""user""}, {""content"": ""In the third year first semester of Analyticsengineering, you will study:\n\nThird Year - First Semester Courses (Year Three or 3 First Semester):\nDAE007, PROBABILITY AND STATISTICS 2, T: 3, U: 0, C: 3, E: 5\nDAE006, MACHINE LEARNING FOR SATELLITE IMAGERY, T: 2, U: 2, C: 3, E: 5\nENG201, ORAL COMMUNICATION SKILLS, T: 3, U: 0, C: 3, E: 4\nDAE008, PRESCRIPTIVE ANALYTICS I, T: 3, U: 0, C: 3, E: 5\nAII439, OCCUPATIONAL HEALTH AND SAFETY I, T: 2, U: 0, C: 2, E: 4\nDAE009, SYSTEMS ENGINEERING, T: 3, U: 0, C: 3, E: 5\nCAR100, CAREER PLANNING, T: 2, U: 0, C: 0, E: 2\n\nTotal: T: 18, U: 2, C: 17, E: 30"", ""role"": ""assistant""}]",Course Information
List the third year first semester courses for Analyticsengineering,"[{""content"": ""List the third year first semester courses for Analyticsengineering"", ""role"": ""user""}, {""content"": ""In the third year first semester of Analyticsengineering, you will study:\n\nThird Year - First Semester Courses (Year Three or 3 First Semester):\nDAE007, PROBABILITY AND STATISTICS 2, T: 3, U: 0, C: 3, E: 5\nDAE006, MACHINE LEARNING FOR SATELLITE IMAGERY, T: 2, U: 2, C: 3, E: 5\nENG201, ORAL COMMUNICATION SKILLS, T: 3, U: 0, C: 3, E: 4\nDAE008, PRESCRIPTIVE ANALYTICS I, T: 3, U: 0, C: 3, E: 5\nAII439, OCCUPATIONAL HEALTH AND SAFETY I, T: 2, U: 0, C: 2, E: 4\nDAE009, SYSTEMS ENGINEERING, T: 3, U: 0, C: 3, E: 5\nCAR100, CAREER PLANNING, T: 2, U: 0, C: 0, E: 2\n\nTotal: T: 18, U: 2, C: 17, E: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in third year second semester of Analyticsengineering?,"[{""content"": ""What courses will I take in third year second semester of Analyticsengineering?"", ""role"": ""user""}, {""content"": ""In the third year second semester of Analyticsengineering, you will study:\n\nThird Year - Second Semester Courses (Year Three or 3 Second Semester):\nDAE011, MACHINE LEARNING 1, T: 3, U: 0, C: 4, E: 5\nDAE012, MATHEMATICAL OPTIMIZATION, T: 3, U: 2, C: 4, E: 5\nDAE013, PARALLELISM AND DISTRIBUTED SYSTEMS, T: 3, U: 0, C: 4, E: 5\nDAE014, ADVANCED DATABASES, T: 4, U: 2, C: 4, E: 5\nAIE399, SUMMER TRAINING II, T: 0, U: 0, C: 0, E: 5\nDAE010, PRESCRIPTIVE ANALYTICS II, T: 3, U: 0, C: 4, E: 5\n\nTotal: T: 16, U: 4, C: 20, E: 30"", ""role"": ""assistant""}]",Course Information
List the third year second semester courses for Analyticsengineering,"[{""content"": ""List the third year second semester courses for Analyticsengineering"", ""role"": ""user""}, {""content"": ""In the third year second semester of Analyticsengineering, you will study:\n\nThird Year - Second Semester Courses (Year Three or 3 Second Semester):\nDAE011, MACHINE LEARNING 1, T: 3, U: 0, C: 4, E: 5\nDAE012, MATHEMATICAL OPTIMIZATION, T: 3, U: 2, C: 4, E: 5\nDAE013, PARALLELISM AND DISTRIBUTED SYSTEMS, T: 3, U: 0, C: 4, E: 5\nDAE014, ADVANCED DATABASES, T: 4, U: 2, C: 4, E: 5\nAIE399, SUMMER TRAINING II, T: 0, U: 0, C: 0, E: 5\nDAE010, PRESCRIPTIVE ANALYTICS II, T: 3, U: 0, C: 4, E: 5\n\nTotal: T: 16, U: 4, C: 20, E: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in fourth year first semester of Analyticsengineering?,"[{""content"": ""What courses will I take in fourth year first semester of Analyticsengineering?"", ""role"": ""user""}, {""content"": ""In the fourth year first semester of Analyticsengineering, you will study:\n\nFourth Year - First Semester Courses (Year Four or 4 First Semester - Final Year First Semester):\nDAE015, MACHINE LEARNING 2, T: 3, U: 0, C: 3, E: 5\nDAE016, ENTREPRENEURSHIP AND INNOVATION, T: 3, U: 0, C: 3, E: 4\nDAE018, SENIOR ADVANCED DESIGN PROJECT I, T: 4, U: 2, C: 4, E: 6\nTE, TECHNICAL ELECTIVE, T: 3, U: 0, C: 3, E: 5\nTE, TECHNICAL ELECTIVE, T: 3, U: 0, C: 3, E: 5\nDAE017, INFORMATION RETRIEVAL AND ANALYSIS, T: 3, U: 2, C: 4, E: 5\n\nTotal: T: 19, U: 4, C: 20, E: 30"", ""role"": ""assistant""}]",Course Information
List the fourth year first semester courses for Analyticsengineering,"[{""content"": ""List the fourth year first semester courses for Analyticsengineering"", ""role"": ""user""}, {""content"": ""In the fourth year first semester of Analyticsengineering, you will study:\n\nFourth Year - First Semester Courses (Year Four or 4 First Semester - Final Year First Semester):\nDAE015, MACHINE LEARNING 2, T: 3, U: 0, C: 3, E: 5\nDAE016, ENTREPRENEURSHIP AND INNOVATION, T: 3, U: 0, C: 3, E: 4\nDAE018, SENIOR ADVANCED DESIGN PROJECT I, T: 4, U: 2, C: 4, E: 6\nTE, TECHNICAL ELECTIVE, T: 3, U: 0, C: 3, E: 5\nTE, TECHNICAL ELECTIVE, T: 3, U: 0, C: 3, E: 5\nDAE017, INFORMATION RETRIEVAL AND ANALYSIS, T: 3, U: 2, C: 4, E: 5\n\nTotal: T: 19, U: 4, C: 20, E: 30"", ""role"": ""assistant""}]",Curriculum
What courses will I take in fourth year second semester of Analyticsengineering?,"[{""content"": ""What courses will I take in fourth year second semester of Analyticsengineering?"", ""role"": ""user""}, {""content"": ""In the fourth year second semester of Analyticsengineering, you will study:\n\nFourth Year - Second Semester Courses (Year Four or 4 Second Semester - Final Year Second Semester):\nAII429, ENGINEERING ETHICS, T: 3, U: 0, C: 3, E: 5\nDAE019, SENIOR ADVANCED DESIGN PROJECT II, T: 3, U: 0, C: 3, E: 5\nDAE020, INFORMATION VISUALIZATION, T: 3, U: 0, C: 3, E: 4\nTE, TECHNICAL ELECTIVE, T: 3, U: 0, C: 3, E: 5\nTE, TECHNICAL ELECTIVE, T: 3, U: 0, C: 3, E: 5\nDAE021, IMAGE PROCESSING AND MACHINE VISION, T: 3, U: 0, C: 3, E: 4\nAII440, OCCUPATIONAL HEALTH AND SAFETY II, T: 2, U: 0, C: 3, E: 2\n\nTotal: T: 18, U: 0, C: 21, E: 30"", ""role"": ""assistant""}]",Course Information
List the fourth year second semester courses for Analyticsengineering,"[{""content"": ""List the fourth year second semester courses for Analyticsengineering"", ""role"": ""user""}, {""content"": ""In the fourth year second semester of Analyticsengineering, you will study:\n\nFourth Year - Second Semester Courses (Year Four or 4 Second Semester - Final Year Second Semester):\nAII429, ENGINEERING ETHICS, T: 3, U: 0, C: 3, E: 5\nDAE019, SENIOR ADVANCED DESIGN PROJECT II, T: 3, U: 0, C: 3, E: 5\nDAE020, INFORMATION VISUALIZATION, T: 3, U: 0, C: 3, E: 4\nTE, TECHNICAL ELECTIVE, T: 3, U: 0, C: 3, E: 5\nTE, TECHNICAL ELECTIVE, T: 3, U: 0, C: 3, E: 5\nDAE021, IMAGE PROCESSING AND MACHINE VISION, T: 3, U: 0, C: 3, E: 4\nAII440, OCCUPATIONAL HEALTH AND SAFETY II, T: 2, U: 0, C: 3, E: 2\n\nTotal: T: 18, U: 0, C: 21, E: 30"", ""role"": ""assistant""}]",Curriculum
What career opportunities are available after graduating from Analyticsengineering?,"[{""content"": ""What career opportunities are available after graduating from Analyticsengineering?"", ""role"": ""user""}, {""content"": ""Career Opportunities for Data Analytics Engineering Graduates:\nData Analyst\nData Scientist\nMachine Learning Engineer\nData Engineer\nBusiness Intelligence Analyst\nData Analytics Consultant\nBig Data Engineer\nData Visualization Specialist\nQuantitative Analyst\nAI/ML Specialist\nDatabase Administrator\nResearch Scientist\nBusiness Analyst\nData Product Manager"", ""role"": ""assistant""}]",Career Information
What jobs can I get with a Analyticsengineering degree?,"[{""content"": ""What jobs can I get with a Analyticsengineering degree?"", ""role"": ""user""}, {""content"": ""Career Opportunities for Data Analytics Engineering Graduates:\nData Analyst\nData Scientist\nMachine Learning Engineer\nData Engineer\nBusiness Intelligence Analyst\nData Analytics Consultant\nBig Data Engineer\nData Visualization Specialist\nQuantitative Analyst\nAI/ML Specialist\nDatabase Administrator\nResearch Scientist\nBusiness Analyst\nData Product Manager"", ""role"": ""assistant""}]",Career Information
What can I do after graduating from Analyticsengineering?,"[{""content"": ""What can I do after graduating from Analyticsengineering?"", ""role"": ""user""}, {""content"": ""Career Opportunities for Data Analytics Engineering Graduates:\nData Analyst\nData Scientist\nMachine Learning Engineer\nData Engineer\nBusiness Intelligence Analyst\nData Analytics Consultant\nBig Data Engineer\nData Visualization Specialist\nQuantitative Analyst\nAI/ML Specialist\nDatabase Administrator\nResearch Scientist\nBusiness Analyst\nData Product Manager"", ""role"": ""assistant""}]",Career Information
What elective courses are available in the Analyticsengineering program?,"[{""content"": ""What elective courses are available in the Analyticsengineering program?"", ""role"": ""user""}, {""content"": ""The Analyticsengineering program offers the following elective courses:\n\nDepartment of Data Analytics Engineering\nBachelor of Data Analytics Engineering Curriculum Overview\nMain website link: https://aif.neu.edu.tr/\n\nT (Theory Hours): The number of hours dedicated to lectures or theoretical learning in the course.\nU (Practice Hours): The number of hours spent on practical work, labs, or hands-on activities.\nC (Credits): The credit value assigned to the course, reflecting its academic weight.\nE (ECTS): European Credit Transfer and Accumulation System, representing the workload and learning outcomes.\n\nCourse Type Legend:\nC = Compulsory Course\nE = Elective Course"", ""role"": ""assistant""}]",Course Information
Tell me about elective courses for Analyticsengineering,"[{""content"": ""Tell me about elective courses for Analyticsengineering"", ""role"": ""user""}, {""content"": ""The Analyticsengineering program offers the following elective courses:\n\nDepartment of Data Analytics Engineering\nBachelor of Data Analytics Engineering Curriculum Overview\nMain website link: https://aif.neu.edu.tr/\n\nT (Theory Hours): The number of hours dedicated to lectures or theoretical learning in the course.\nU (Practice Hours): The number of hours spent on practical work, labs, or hands-on activities.\nC (Credits): The credit value assigned to the course, reflecting its academic weight.\nE (ECTS): European Credit Transfer and Accumulation System, representing the workload and learning outcomes.\n\nCourse Type Legend:\nC = Compulsory Course\nE = Elective Course"", ""role"": ""assistant""}]",Course Information
How long is the Analyticsengineering program?,"[{""content"": ""How long is the Analyticsengineering program?"", ""role"": ""user""}, {""content"": ""Graduation Requirements:\nIn order to graduate from this undergraduate program, the students are required:\n\n1. to succeed in all of the courses listed in the curriculum of the program by getting the grade of at least DD/S with a minimum of 251 ECTS\n2. to have a Cumulative Grade Point Average (CGPA) of 2.00 out of 4.00\n3. to complete their compulsory internship in a specified duration and quality.\n\nTotal ECTS Required: 251\nMinimum CGPA: 2.00/4.00"", ""role"": ""assistant""}]",Program Information
What is the duration of Analyticsengineering studies?,"[{""content"": ""What is the duration of Analyticsengineering studies?"", ""role"": ""user""}, {""content"": ""Graduation Requirements:\nIn order to graduate from this undergraduate program, the students are required:\n\n1. to succeed in all of the courses listed in the curriculum of the program by getting the grade of at least DD/S with a minimum of 251 ECTS\n2. to have a Cumulative Grade Point Average (CGPA) of 2.00 out of 4.00\n3. to complete their compulsory internship in a specified duration and quality.\n\nTotal ECTS Required: 251\nMinimum CGPA: 2.00/4.00"", ""role"": ""assistant""}]",Program Information
What are the focus areas of Analyticsengineering?,"[{""content"": ""What are the focus areas of Analyticsengineering?"", ""role"": ""user""}, {""content"": ""Data Analytics Engineering Program Summary:\n- Department: Data Analytics Engineering\n- Degree: Bachelor of Science\n- Total Semesters: 8\n- Total Courses: 53+\n- Total ECTS Credits: 251\n- Language of Instruction: English\n- Focus Areas: Machine Learning, Data Engineering, Statistical Analysis, Big Data Systems, Artificial Intelligence\n\nKey Specializations:\n- Machine Learning and AI\n- Data Engineering and Database Systems\n- Statistical Analysis and Optimization\n- Big Data and Distributed Systems\n- Data Visualization and Business Intelligence"", ""role"": ""assistant""}]",Program Information
What specializations does Analyticsengineering offer?,"[{""content"": ""What specializations does Analyticsengineering offer?"", ""role"": ""user""}, {""content"": ""Data Analytics Engineering Program Summary:\n- Department: Data Analytics Engineering\n- Degree: Bachelor of Science\n- Total Semesters: 8\n- Total Courses: 53+\n- Total ECTS Credits: 251\n- Language of Instruction: English\n- Focus Areas: Machine Learning, Data Engineering, Statistical Analysis, Big Data Systems, Artificial Intelligence\n\nKey Specializations:\n- Machine Learning and AI\n- Data Engineering and Database Systems\n- Statistical Analysis and Optimization\n- Big Data and Distributed Systems\n- Data Visualization and Business Intelligence"", ""role"": ""assistant""}]",Program Information
Tell me about the Architecturedepartment program at Near East University.,"[{""content"": ""Tell me about the Architecturedepartment program at Near East University."", ""role"": ""user""}, {""content"": ""Architecture Department Program Overview:\nBachelor's Degree program focusing on architectural design, interior architecture, and spatial planning.\nCombines artistic design principles with technical knowledge and professional practice.\nIncludes design studios, technical courses, and professional training.\nPrepares students for careers in architecture, interior design, and related fields.\n\nCareer Opportunities for Architecture Graduates:\nArchitect\nInterior Architect\nUrban Designer\nSpace Planner\nArchitectural Designer\nProject Manager\nDesign Consultant\nConstruction Manager\nBuilding Information Modeling (BIM) Specialist\nSustainable Design Consultant"", ""role"": ""assistant""}]",Program Information
What is the Architecturedepartment program?,"[{""content"": ""What is the Architecturedepartment program?"", ""role"": ""user""}, {""content"": ""Architecture Department Program Overview:\nBachelor's Degree program focusing on architectural design, interior architecture, and spatial planning.\nCombines artistic design principles with technical knowledge and professional practice.\nIncludes design studios, technical courses, and professional training.\nPrepares students for careers in architecture, interior design, and related fields.\n\nCareer Opportunities for Architecture Graduates:\nArchitect\nInterior Architect\nUrban Designer\nSpace Planner\nArchitectural Designer\nProject Manager\nDesign Consultant\nConstruction Manager\nBuilding Information Modeling (BIM) Specialist\nSustainable Design Consultant"", ""role"": ""assistant""}]",Program Information
